label,ZeroShot,COT,FewShot,COT_with_examples,APE
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Non-Functional,Non-Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Non-Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Functional,Non-Functional
Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Non-Functional,Functional,Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Functional,Functional,Functional,Functional
Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
Functional,Functional,Functional,Functional,Functional,Functional
